"variable","level","cohort","n","mean","sd","median","q1","q3","min","max","count","percent"
"AGE","continuous",0,45845,63.8876649580107,11.9420969030922,64,56,72,20,99,NA,NA
"AGE","continuous",1,11731,59.9862756798227,10.011054377609,60,53,67,21,97,NA,NA
"PAIN_LEVEL","continuous",0,45845,5.60717330134148,2.02965208977658,5.69,4.12,7.18,0.06,9.99,NA,NA
"PAIN_LEVEL","continuous",1,11731,4.96012360412582,2.89272800977112,4.9,2.48,7.455,0,10,NA,NA
"LDL_I","continuous",0,45845,112.537637692224,41.0779387119323,112,84,141,1,244,NA,NA
"LDL_I","continuous",1,11731,121.876140141505,70.828654495665,122,60,184,1,244,NA,NA
"RACE","B",0,45845,NA,NA,NA,NA,NA,NA,NA,9925,21.6490347911441
"RACE","O",0,45845,NA,NA,NA,NA,NA,NA,NA,16214,35.3669974915476
"RACE","W",0,45845,NA,NA,NA,NA,NA,NA,NA,19706,42.9839677173083
"RACE","B",1,11731,NA,NA,NA,NA,NA,NA,NA,2004,17.0829426306368
"RACE","O",1,11731,NA,NA,NA,NA,NA,NA,NA,3508,29.9036740260847
"RACE","W",1,11731,NA,NA,NA,NA,NA,NA,NA,6219,53.0133833432785
