"subgroup_variable","subgroup_level","COHORT_ID","n","events","risk"
"age_group","<50",0,5242,312,0.0595192674551698
"age_group","<50",1,1722,152,0.0882694541231127
"age_group","50-64",0,18499,1217,0.0657873398562084
"age_group","50-64",1,6168,650,0.10538261997406
"age_group","65-74",0,13418,915,0.0681919809211507
"age_group","65-74",1,2986,359,0.120227729403885
"age_group","75+",0,8686,669,0.0770204927469491
"age_group","75+",1,855,96,0.112280701754386
"RACE","B",0,9925,755,0.0760705289672544
"RACE","B",1,2004,267,0.133233532934132
"RACE","O",0,16214,1108,0.0683360059208092
"RACE","O",1,3508,409,0.116590649942987
"RACE","W",0,19706,1250,0.063432457119659
"RACE","W",1,6219,581,0.0934233799646245
"pain_category","tertile_1",0,13856,808,0.0583140877598152
"pain_category","tertile_1",1,5359,492,0.0918081731666356
"pain_category","tertile_2",0,16636,1108,0.0666025486895888
"pain_category","tertile_2",1,2539,310,0.1220953131154
"pain_category","tertile_3",0,15353,1197,0.077965218524067
"pain_category","tertile_3",1,3833,455,0.118705974432559
"ldl_category","<100",0,17334,1113,0.0642090688819661
"ldl_category","<100",1,4799,489,0.101896228380913
"ldl_category","100-129",0,12881,878,0.0681624097507958
"ldl_category","100-129",1,1451,148,0.101998621640248
"ldl_category","130+",0,15630,1122,0.071785028790787
"ldl_category","130+",1,5481,620,0.113118044152527
